"State","pop2022","pop2010","GrowthRate"
"California","10053089","9818605","0.0239"
"Illinois","5291715","5194675","0.0187"
"Texas","4858883","4092459","0.1873"
"Arizona","4541258","3817117","0.1897"
"California","3339298","3095313","0.0788"
"California","3222341","3010232","0.0705"
"New York","2782348","2504700","0.1109"
"Florida","2742833","2496435","0.0987"
"Texas","2662619","2368139","0.1244"
"California","2463893","2189641","0.1252"
"New York","2440412","2230722","0.0940"
"Washington","2337361","1931249","0.2103"
"Nevada","2328299","1951269","0.1932"
"California","2210942","2035210","0.0863"
"Texas","2170962","1809034","0.2001"
"Texas","2068234","1714773","0.2061"
"Florida","1983637","1748066","0.1348"
"California","1967183","1781642","0.1041"
"Michigan","1788157","1820584","-0.0178"
"California","1716769","1510271","0.1367"
"New York","1715927","1585873","0.0820"
"Massachusetts","1657786","1503085","0.1029"
"Pennsylvania","1619355","1526006","0.0612"
"California","1618309","1418788","0.1406"
"New York","1532434","1493350","0.0262"
"Florida","1526603","1320134","0.1564"
"Florida","1505870","1229226","0.2251"
"New York","1490164","1385108","0.0758"
"Florida","1486698","1145956","0.2973"
"New York","1407022","1339532","0.0504"
"Ohio","1355885","1163414","0.1654"
"Texas","1343372","1024266","0.3115"
"Minnesota","1307393","1152425","0.1345"
"Michigan","1288801","1202362","0.0719"
"Ohio","1261757","1280122","-0.0143"
"Pennsylvania","1256024","1223348","0.0267"
"Utah","1216354","1029655","0.1813"
"California","1189307","1049025","0.1337"
"North Carolina","1175094","900993","0.3042"
"Virginia","1164025","1081726","0.0761"
"North Carolina","1154652","919628","0.2556"
"Texas","1120889","782341","0.4327"
"Georgia","1095936","920581","0.1905"
"Maryland","1080117","971777","0.1115"
"Arizona","1056067","980263","0.0773"
"Hawaii","1029168","953207","0.0797"
"California","1024294","930450","0.1009"
"Florida","1021827","864263","0.1823"
"New York","1015525","949113","0.0700"
"Missouri","1005159","998954","0.0062"
"Indiana","991965","903393","0.0980"
"Maryland","987957","863420","0.1442"
"Georgia","987410","805321","0.2261"
"Florida","967619","916542","0.0557"
"New Jersey","965856","905116","0.0671"
"Connecticut","965537","916829","0.0531"
"New York","961276","919040","0.0460"
"Texas","955184","662614","0.4415"
"Washington","946310","795225","0.1900"
"Wisconsin","937839","947735","-0.0104"
"Illinois","936067","916924","0.0209"
"Tennessee","930164","927644","0.0027"
"California","923155","839631","0.0995"
"Connecticut","900594","894014","0.0074"
"Texas","889983","774769","0.1487"
"Michigan","889265","840978","0.0574"
"California","887711","805235","0.1024"
"New Jersey","879680","783969","0.1221"
"Texas","878659","800647","0.0974"
"Massachusetts","874823","798552","0.0955"
"New Jersey","873822","809858","0.0790"
"Texas","870259","585375","0.4867"
"Pennsylvania","867889","799874","0.0850"
"Connecticut","865307","862477","0.0033"
"Maryland","864437","805029","0.0738"
"Washington","850881","713335","0.1928"
"California","847947","823318","0.0299"
"Ohio","836291","802374","0.0423"
"Oregon","831446","735334","0.1307"
"Massachusetts","823163","743159","0.1077"
"Massachusetts","813118","722023","0.1262"
"Oklahoma","811824","718633","0.1297"
"California","798019","685306","0.1645"
"Kentucky","791343","741096","0.0678"
"Florida","789236","618754","0.2755"
"Georgia","781763","688078","0.1362"
"Georgia","778880","691893","0.1257"
"California","773640","718451","0.0768"
"New York","762463","744344","0.0243"
"Colorado","752021","622263","0.2085"
"Florida","749636","602095","0.2450"
"New Jersey","742972","634266","0.1714"
"Colorado","738594","600158","0.2307"
"Massachusetts","737007","670850","0.0986"
"Tennessee","733724","626681","0.1708"
"Missouri","725814","674158","0.0766"
"Illinois","716518","703462","0.0186"
"District of Columbia","707109","601723","0.1751"
"Illinois","700115","677560","0.0333"
"Utah","687967","516564","0.3318"
"Oklahoma","682455","603403","0.1310"
"New Mexico","679220","662564","0.0251"
"Alabama","677973","658466","0.0296"
"Colorado","671684","572003","0.1743"
"Michigan","669044","602622","0.1102"
"Rhode Island","667555","626667","0.0652"
"Texas","653383","455746","0.4337"
"Pennsylvania","650796","625249","0.0409"
"New Jersey","649361","576567","0.1263"
"Texas","646285","422679","0.5290"
"New Jersey","646263","630380","0.0252"
"Kansas","622999","544179","0.1448"
"Florida","619260","543376","0.1397"
"Oregon","614504","529710","0.1601"
"Maryland","598381","537656","0.1129"
"Nebraska","598010","517110","0.1564"
"Colorado","592584","534543","0.1086"
"Massachusetts","585384","548285","0.0677"
"New Jersey","583115","536499","0.0869"
"Florida","581329","464697","0.2510"
"Pennsylvania","580400","558979","0.0383"
"Maryland","578658","620961","-0.0681"
"Delaware","577167","538479","0.0718"
"Wisconsin","576190","488073","0.1805"
"Florida","565333","494593","0.1430"
"Minnesota","561094","508640","0.1031"
"California","560562","514453","0.0896"
"Pennsylvania","559692","519445","0.0775"
"Washington","552963","471221","0.1735"
"North Carolina","551877","488406","0.1300"
"Pennsylvania","541519","498886","0.0855"
"South Carolina","540396","451225","0.1976"
"Ohio","540158","541781","-0.0030"
"Massachusetts","537999","494919","0.0870"
"Ohio","537741","535153","0.0048"
"Colorado","535166","441603","0.2119"
"Kansas","528916","498365","0.0613"
"New Jersey","528696","501226","0.0548"
"New Jersey","525451","513657","0.0230"
"Washington","518901","425363","0.2199"
"Illinois","516772","515269","0.0029"
"Idaho","515487","392365","0.3138"
"New Jersey","512687","492276","0.0415"
"Iowa","504753","430640","0.1721"
"New York","501151","468730","0.0692"
"Nevada","499508","421407","0.1853"
"Indiana","499240","496005","0.0065"
"Virginia","498244","402002","0.2394"
"California","489859","483878","0.0124"
"Tennessee","488319","432226","0.1298"
"Florida","480484","422718","0.1367"
"California","479305","442179","0.0840"
"New York","478414","467026","0.0244"
"Massachusetts","466293","463490","0.0060"
"New Jersey","464486","448734","0.0351"
"Virginia","463766","437994","0.0588"
"California","461521","413344","0.1166"
"Pennsylvania","460732","434972","0.0592"
"Louisiana","460103","440171","0.0453"
"California","453095","423895","0.0689"
"Minnesota","448148","398552","0.1244"
"Florida","444918","379448","0.1725"
"California","443831","415057","0.0693"
"Virginia","442689","312311","0.4175"
"Louisiana","442427","432552","0.0228"
"Arizona","435162","375770","0.1581"
"Pennsylvania","432331","411442","0.0508"
"Oregon","430483","375992","0.1449"
"Ohio","429171","441815","-0.0286"
"New Hampshire","427381","400721","0.0665"
"Texas","423977","406220","0.0437"
"South Carolina","422475","384504","0.0988"
"South Carolina","419841","350209","0.1988"
"California","416001","348432","0.1939"
"Alabama","415173","412992","0.0053"
"Florida","415086","322833","0.2858"
"Missouri","414218","360485","0.1491"
"Florida","412650","268685","0.5358"
"Wisconsin","410396","389891","0.0526"
"New York","407010","372813","0.0917"
"Arkansas","402401","382748","0.0513"
"Michigan","402295","425790","-0.0552"
"Florida","401336","297052","0.3511"
"Alabama","398821","334811","0.1912"
